ph,temperature_c,ammonia_mg_l,nitrite_mg_l,nitrate_mg_l,ph_rolling_3,ph_rolling_7,ph_change_rate,temperature_c_rolling_3,temperature_c_rolling_7,temperature_c_change_rate,ammonia_mg_l_rolling_3,ammonia_mg_l_rolling_7,ammonia_mg_l_change_rate,nitrite_mg_l_rolling_3,nitrite_mg_l_rolling_7,nitrite_mg_l_change_rate,nitrate_mg_l_rolling_3,nitrate_mg_l_rolling_7,nitrate_mg_l_change_rate,water_stability_index,risk_level
6.03227,27.125,0,0.017,3,6.0353,6.04394,0.00908,27.10417,27.10714,0.0625,0,0,0,0.017,0.017,0,64.66667,42.14286,-5,0.05442,Low Risk
6.07766,27.125,0,0.017,16,6.04437,6.04783,0.04539,27.10417,27.10714,0,0,0,0,0.017,0.017,0,9,44.28571,13,0.06209,Low Risk
6.03227,27.0625,0,0.017,25,6.0474,6.04783,-0.04539,27.10417,27.09821,-0.0625,0,0,0,0.017,0.017,0,14.66667,43.42857,9,0.06354,Low Risk
6.02773,27.1875,0,0.017,31,6.03832,6.04265,-0.02724,27.14583,27.125,0,0,0,0,0.017,0.017,0,42,48,-39,0.06429,Low Risk
6.00957,27.125,0.00003,0.017,22,6.02773,6.0394,-0.02724,27.125,27.13393,0,0.00001,0,0.00003,0.017,0.017,0,125.33333,74,-140,0.06477,Low Risk
6.04135,27.125,0,0.017,28,6.02924,6.03422,0.03178,27.125,27.13393,0,0.00001,0,-0.00003,0.017,0.017,0,70.66667,75.71429,6,0.04926,Low Risk
5.97326,26.0625,0.00001,0.017,0,6.00957,6.02319,-0.04085,26.79167,26.98214,-1.125,0,0.00001,0.00001,0.017,0.017,0,51.66667,64.71429,-75,0.25632,Low Risk
6.18661,28,0.00282,0.017,234,6.20628,5.99595,-0.01816,28.0625,28.15179,-0.0625,0.00467,0.00345,-0.00359,0.017,0.017,0,254.33333,237.85714,1,0.94328,Moderate Risk
6.18661,27.6875,0.00608,0.017,231,6.19418,6.19828,-0.00908,27.70833,27.83036,0,0.00479,0.01832,0.00383,0.017,0.017,0,237,238.14286,-9,0.15698,Low Risk
6.17299,27.4375,0.01113,0.017,214,6.18207,6.17234,-0.00454,27.5,27.58929,-0.0625,0.00568,0.00455,0.0085,0.017,0.017,0,221.66667,227,-8,0.09658,Low Risk
6.15937,27.25,0.00958,0.017,214,6.16845,6.16326,-0.00908,27.29167,27.36607,-0.0625,0.00549,0.00399,0.00556,0.017,0.017,0,215.33333,218.57143,0,0.08509,Low Risk
6.18661,27,0.00312,0.017,208,6.14878,6.14835,0.05901,27.04167,27.11607,-0.0625,0.00302,0.00324,0.00002,0.017,0.017,0,210,208.85714,-5,0.09185,Moderate Risk
6.07312,27.1875,0,0.017,72,6.04437,6.03292,0.03631,27.14583,27.16071,0.0625,0,0,0,0.017,0.017,0,171.66667,152.14286,-179,0.065,Low Risk
6.03681,27.1875,0,0.017,87,6.05345,6.03681,-0.01362,27.16667,27.14286,0.0625,0,0,0,0.017,0.017,0,117.66667,149.57143,-107,0.05517,Low Risk
6.0822,27.125,0.00001,0.017,65,6.05648,6.04654,0.04539,27.14583,27.14286,-0.0625,0,0,0.00001,0.017,0.017,0,115.33333,141.28571,-22,0.06197,Low Risk
6.02319,27.125,0,0.017,75,6.0474,6.04654,-0.05901,27.14583,27.14286,0,0,0,-0.00001,0.017,0.017,0,75.66667,133.71429,10,0.06197,Low Risk
6.03227,27.125,0.00001,0.017,103,6.02168,6.03681,0.0227,27.14583,27.14286,-0.0625,0,0,0.00001,0.017,0.017,0,105.33333,105.28571,4,0.06272,Low Risk
6.03227,27.125,0.00002,0.017,48,6.03378,6.02903,0,27.125,27.14286,0,0.00001,0,0.00002,0.017,0.017,0,104.66667,111.57143,-67,0.03468,Low Risk
6.03227,27.125,0.00004,0.017,97,6.03227,6.03032,0,27.125,27.14286,0,0.00002,0.00001,0.00002,0.017,0.017,0,86.66667,109.14286,49,0.03408,Low Risk
6.01411,27.1875,0,0.017,64,6.02773,6.03032,-0.01816,27.1875,27.16071,0,0,0.00001,0,0.017,0.017,0,104.33333,111.71429,-74,0.03143,Low Risk
6.02773,27.125,0.00027,0.017,103,6.0247,6.02968,0.01362,27.16667,27.16071,-0.0625,0.00009,0.00005,0.00027,0.017,0.017,0,101.66667,110,39,0.0316,Low Risk
6.02319,27.125,0.00001,0.017,72,6.03227,6.02903,-0.01816,27.14583,27.13393,-0.0625,0,0,0.00001,0.017,0.017,0,86.66667,136.42857,-41,0.02729,Low Risk
6.03681,27.125,0,0.017,64,6.04286,6.03681,-0.01816,27.125,27.13393,0,0,0,0,0.017,0.017,0,97,114,-50,0.03143,Low Risk
6.01865,27.125,0,0.017,30,6.02773,6.03162,-0.01816,27.125,27.13393,0,0,0,0,0.017,0.017,0,60.33333,93.28571,-23,0.02874,Low Risk
6.05497,27.125,0,0.017,42,6.0474,6.03551,0.00454,27.14583,27.13393,-0.0625,0,0,0,0.017,0.017,0,71,89.14286,-43,0.03839,Low Risk
6.03227,27.125,0,0.017,39,6.03984,6.03746,0,27.125,27.13393,0,0,0,0,0.017,0.017,0,43,78.28571,-9,0.03432,Low Risk
6.04135,27.125,0,0.017,28,6.0353,6.04005,0.00908,27.14583,27.14286,-0.0625,0,0,-0.00001,0.017,0.017,0,58,62.14286,-79,0.03395,Low Risk
6.03227,27.1875,0,0.017,38,6.03378,6.03746,0,27.14583,27.14286,0.0625,0,0,0,0.017,0.017,0,63.66667,72,-28,0.03219,Low Risk
6.05497,27.125,0,0.017,17,6.03984,6.0407,0.0227,27.14583,27.14286,-0.0625,0,0,0,0.017,0.017,0,40.33333,68.85714,-21,0.03585,Low Risk
6.05043,27.125,0,0.017,37,6.04589,6.0433,-0.00454,27.14583,27.13393,0,0,0,0,0.017,0.017,0,30.66667,58.85714,20,0.03202,Low Risk
6.03681,27.125,0.00003,0.017,16,6.0474,6.04265,-0.01362,27.125,27.13393,0,0.00001,0,0.00003,0.017,0.017,0,23.33333,57.14286,-21,0.03262,Low Risk
6.06858,27.125,0,0.017,16,6.05194,6.04459,0.03177,27.125,27.13393,0,0.00001,0,-0.00003,0.017,0.017,0,23,39.57143,0,0.03943,Low Risk
6.04135,27.125,0.00002,0.017,45,6.04891,6.04524,-0.02723,27.125,27.13393,0,0.00002,0.00001,0.00002,0.017,0.017,0,25.66667,33.57143,29,0.03878,Low Risk
6.03681,27.125,0.00008,0.017,31,6.03832,6.04654,0,27.14583,27.13393,-0.0625,0.00003,0.00002,0.00008,0.017,0.017,0,59,37.57143,-70,0.03613,Low Risk
6.03681,27.125,0.00001,0.017,47,6.04286,6.0407,-0.01362,27.125,27.13393,0,0,0.00002,0.00001,0.017,0.017,0,105.66667,97.57143,-20,0.02158,Low Risk
6.05043,27.125,0,0.017,1,6.04438,6.0433,0.01816,27.125,27.125,0,0,0,0,0.017,0.017,0,74.33333,104.14286,-84,0.0147,Low Risk
6.03227,27.125,0,0.017,31,6.03832,6.042,-0.01816,27.125,27.125,0,0,0,0,0.017,0.017,0,39,81.57143,30,0.01694,Low Risk
6.0822,27.0625,0,0.017,0,6.05043,6.04589,0.04539,27.10417,27.11607,-0.0625,0,0,0,0.017,0.017,0,33.33333,52.85714,-69,0.04737,Low Risk
6.02319,27.0625,0,0.017,8,6.05194,6.04394,-0.02724,27.08333,27.10714,-0.0625,0,0,0,0.017,0.017,0,63.66667,53.85714,-175,0.05442,Low Risk
6.03227,27.125,0,0.017,3,6.0353,6.04394,0.00908,27.10417,27.10714,0.0625,0,0,0,0.017,0.017,0,64.66667,42.14286,-5,0.05442,Low Risk
6.07766,27.125,0,0.017,16,6.04437,6.04783,0.04539,27.10417,27.10714,0,0,0,0,0.017,0.017,0,9,44.28571,13,0.06209,Low Risk
6.03227,27.0625,0,0.017,25,6.0474,6.04783,-0.04539,27.10417,27.09821,-0.0625,0,0,0,0.017,0.017,0,14.66667,43.42857,9,0.06354,Low Risk
6.02773,27.1875,0,0.017,31,6.03832,6.04265,-0.02724,27.14583,27.125,0,0,0,0,0.017,0.017,0,42,48,-39,0.06429,Low Risk
6.00957,27.125,0.00003,0.017,22,6.02773,6.0394,-0.02724,27.125,27.13393,0,0.00001,0,0.00003,0.017,0.017,0,125.33333,74,-140,0.06477,Low Risk
6.04135,27.125,0,0.017,28,6.02924,6.03422,0.03178,27.125,27.13393,0,0.00001,0,-0.00003,0.017,0.017,0,70.66667,75.71429,6,0.04926,Low Risk
5.97326,26.0625,0.00001,0.017,0,6.00957,6.02319,-0.04085,26.79167,26.98214,-1.125,0,0.00001,0.00001,0.017,0.017,0,51.66667,64.71429,-75,0.25632,Low Risk
6.18661,27.6875,0.00608,0.017,231,6.19418,6.19828,-0.00908,27.70833,27.83036,0,0.00479,0.01832,0.00383,0.017,0.017,0,237,238.14286,-9,0.15698,Low Risk
6.17299,27.4375,0.01113,0.017,214,6.18207,6.17234,-0.00454,27.5,27.58929,-0.0625,0.00568,0.00455,0.0085,0.017,0.017,0,221.66667,227,-8,0.09658,Low Risk
6.15937,27.25,0.00958,0.017,214,6.16845,6.16326,-0.00908,27.29167,27.36607,-0.0625,0.00549,0.00399,0.00556,0.017,0.017,0,215.33333,218.57143,0,0.08509,Low Risk
6.03227,27.1875,0.00001,0.017,107,6.03227,6.03876,0,27.14583,27.14286,0.0625,0,0,0.00001,0.017,0.017,0,64.66667,85.71429,68,0.03477,Moderate Risk
6.17299,27.125,0.00431,0.017,203,6.14424,6.14186,0.04539,27.14583,27.21429,0,0.00349,0.00433,0.00119,0.017,0.017,0,207.33333,210.14286,-8,0.11,Moderate Risk
6.03681,27.125,0,0.017,86,6.03076,6.02968,0.00454,27.125,27.125,0,0,0,0,0.017,0.017,0,111.33333,92.57143,-107,0.01373,Moderate Risk
6.04135,27.125,0,0.017,80,6.03378,6.02773,0.00454,27.14583,27.15179,0,0,0,0,0.017,0.017,0,139.66667,142.14286,-19,0.03562,Moderate Risk
6.05043,27.125,0,0.017,194,6.05345,6.03746,-0.02269,27.14583,27.14286,-0.0625,0,0,0,0.017,0.017,0,172.33333,157.28571,122,0.05532,Moderate Risk
6.1276,27.125,0.00641,0.017,208,6.14122,6.14835,-0.03631,27.10417,27.07143,0,0.00474,0.004,0.00193,0.017,0.017,0,204.66667,207.42857,0,0.07242,Moderate Risk
7.24431,26.1875,4.29682,0.017,139,7.842,7.842,-0.89881,26.89583,26.89583,-1.0625,3.1302,3.1302,0.26732,0.017,0.017,0,139,139,0,4.93022,High Risk
7.25338,24.8125,4.53072,0.017,139,7.25036,7.27089,-0.00454,24.83333,24.8125,0,4.09581,3.99153,1.10346,0.017,0.017,0,139,139,0,1.15187,High Risk
7.23977,26.4375,0,0.017,139,7.23977,7.24625,-0.00454,26.375,26.36607,0.0625,0,0,0,0.017,0.017,0,139,139,0,0.06074,Moderate Risk
7.24431,26,0,0.017,139,7.24128,7.23977,0.00454,26.02083,26.03571,-0.0625,0,0,0,0.017,0.017,0,139,139,0,0.02412,Moderate Risk
7.23977,25.9375,0,0.017,139,7.24128,7.23782,0,25.9375,25.92857,0,0,0,0,0.017,0.017,0,139,139,0,0.02336,Moderate Risk
7.267,26.25,0,0.017,139,7.24885,7.24561,0.02269,26.25,26.25,0,0,0,0,0.017,0.017,0,139,139,0,0.03814,Moderate Risk
7.23069,25.625,0,0.017,139,7.23523,7.23588,-0.00454,25.625,25.625,0,0,0,0,0.017,0.017,0,139,139,0,0.00817,Moderate Risk
7.23977,26.3125,0,0.017,139,7.23674,7.23718,0.00454,26.35417,26.34821,-0.0625,0,0,0,0.017,0.017,0,139,139,0,0.02385,Moderate Risk
7.23977,26.3125,0,0.017,139,7.23977,7.24172,0,26.3125,26.30357,0,0,0,0,0.017,0.017,0,139,139,0,0.02642,Moderate Risk
7.23977,26.25,0,0.017,139,7.23977,7.24042,0,26.25,26.25893,0,0,0,0,0.017,0.017,0,139,139,0,0.02783,Moderate Risk
7.23977,26.3125,0,0.017,139,7.2428,7.24236,-0.00454,26.3125,26.3125,0,0,0,0,0.017,0.017,0,139,139,0,0.00485,Moderate Risk
7.24431,26.25,0,0.017,139,7.24431,7.24431,0,26.22917,26.22321,0,0,0,0,0.017,0.017,0,139,139,0,0.0167,Moderate Risk
7.23523,26.3125,0,0.017,139,7.23674,7.23782,0,26.35417,26.35714,-0.0625,0,0,0,0.017,0.017,0,139,139,0,0.02411,Moderate Risk
7.23977,25.8125,0,0.017,139,7.23674,7.23718,0.00454,25.77083,25.75,0.0625,0,0,0,0.017,0.017,0,139,139,0,0.0229,Moderate Risk
7.23523,25.75,0,0.017,139,7.23977,7.23977,0,25.77083,25.75893,0,0,0,0,0.017,0.017,0,139,139,0,0.03205,Moderate Risk
7.23977,26.25,0,0.017,139,7.2428,7.24236,-0.00454,26.25,26.25893,0,0,0,0,0.017,0.017,0,139,139,0,0.01896,Moderate Risk
7.23523,26.1875,0,0.017,139,7.23372,7.23847,0,26.16667,26.16964,0,0,0,0,0.017,0.017,0,139,139,0,0.02663,Moderate Risk
7.23069,26.375,0,0.017,139,7.23826,7.24042,-0.01362,26.33333,26.33929,0.0625,0,0,0,0.017,0.017,0,139,139,0,0.02774,Moderate Risk
7.24431,25.75,0,0.017,139,7.23826,7.23782,0.00908,25.75,25.77679,0,0,0,0,0.017,0.017,0,139,139,0,0.02557,Moderate Risk
7.24431,26.25,0,0.017,139,7.24431,7.24366,0,26.25,26.23214,0,0,0,0,0.017,0.017,0,139,139,0,0.01868,Moderate Risk
7.24431,26.25,0,0.017,139,7.24431,7.24172,0,26.27083,26.25893,-0.0625,0,0,0,0.017,0.017,0,139,139,0,0.01896,Moderate Risk
7.23523,25.75,0,0.017,139,7.23523,7.23912,-0.00454,25.75,25.75,0,0,0,0,0.017,0.017,0,139,139,0,0.02775,Moderate Risk
7.24431,26,0,0.017,139,7.2428,7.24366,0.00454,26.02083,26.01786,0,0,0,0,0.017,0.017,0,139,139,0,0.03134,Moderate Risk
7.23523,25.625,0,0.017,139,7.23674,7.23588,0,25.625,25.61607,0,0,0,0,0.017,0.017,0,139,139,0,0.01808,Moderate Risk
8.10226,27.1875,0,0.017,139,8.13253,8.12691,-0.01816,27.20833,27.20536,0,0,0,0,0.017,0.017,0,139,139,0,0.07143,Moderate Risk
7.23523,25.6875,0,0.017,139,7.23372,7.23458,0.00454,25.6875,25.69643,0,0,0,0,0.017,0.017,0,139,139,0,0.01524,Moderate Risk
7.23069,25.8125,0,0.017,139,7.23523,7.23588,-0.01362,25.8125,25.8125,0,0,0,0,0.017,0.017,0,139,139,0,0.00971,Moderate Risk
7.24431,26.1875,0,0.017,139,7.24128,7.24755,0.00908,26.1875,26.17857,0,0,0,0,0.017,0.017,0,139,139,0,0.03787,Moderate Risk
7.23977,25.5625,0,0.017,139,7.23977,7.23588,-0.00454,25.52083,25.52679,0.0625,0,0,0,0.017,0.017,0,139,139,0,0.02892,Moderate Risk
7.24431,26.25,0,0.017,139,7.24431,7.24236,0,26.25,26.23214,0,0,0,0,0.017,0.017,0,139,139,0,0.02239,Moderate Risk
7.24431,26.0625,0,0.017,139,7.23977,7.24366,0,26.02083,26.02679,0.0625,0,0,0,0.017,0.017,0,139,139,0,0.0328,Moderate Risk
7.23523,25.75,0,0.017,139,7.23826,7.23588,-0.00454,25.72917,25.74107,0.0625,0,0,0,0.017,0.017,0,139,139,0,0.01808,Moderate Risk
8.11588,27.1875,0,0.017,139,8.12345,8.1308,-0.01816,27.20833,27.22321,0,0,0,0,0.017,0.017,0,139,139,0,0.05117,Moderate Risk
8.11588,27.1875,0,0.017,139,8.12496,8.12366,-0.01816,27.1875,27.1875,0,0,0,0,0.017,0.017,0,139,139,0,0.02905,Moderate Risk
7.23523,25.8125,0,0.017,139,7.23977,7.23847,-0.00908,25.79167,25.78571,0,0,0,0,0.017,0.017,0,139,139,0,0.02357,Moderate Risk
7.24431,26.3125,0,0.017,139,7.23826,7.23977,0.00454,26.29167,26.28571,0,0,0,0,0.017,0.017,0,139,139,0,0.02578,Moderate Risk
7.23977,26.3125,0,0.017,139,7.23977,7.23977,0,26.3125,26.3125,0,0,0,0,0.017,0.017,0,139,139,0,0.00524,Moderate Risk
7.23977,25.9375,0,0.017,139,7.2428,7.23977,-0.00454,25.9375,25.91964,0,0,0,0,0.017,0.017,0,139,139,0,0.02573,Moderate Risk
7.23977,26.375,0,0.017,139,7.24128,7.24107,0,26.375,26.36607,0,0,0,0,0.017,0.017,0,139,139,0,0.01868,Moderate Risk
7.23977,25.875,0,0.017,139,7.23523,7.23847,0.00908,25.875,25.86607,0,0,0,0,0.017,0.017,0,139,139,0,0.02191,Moderate Risk
7.24431,26.25,0,0.017,139,7.2428,7.24172,0,26.20833,26.20536,0.0625,0,0,0,0.017,0.017,0,139,139,0,0.0201,Moderate Risk
7.23977,25.5,0,0.017,139,7.23977,7.24172,0,25.5,25.5,0,0,0,0,0.017,0.017,0,139,139,0,0.00485,Moderate Risk
7.23977,26.25,0,0.017,139,7.23977,7.23912,0,26.25,26.26786,0,0,0,0,0.017,0.017,0,139,139,0,0.01868,Moderate Risk
7.23069,25.4375,0,0.017,139,7.23674,7.23523,-0.00908,25.4375,25.4375,0.0625,0,0,0,0.017,0.017,0,139,139,0,0.02712,High Risk
7.23977,25.375,0,0.017,139,7.23674,7.23847,0,25.4375,25.4375,-0.125,0,0,0,0.017,0.017,0,139,139,0,0.03351,High Risk
8.42911,24.6875,0.38,0.017,202,8.43062,8.42976,-0.00454,24.6875,24.6875,0,0.38,0.38,0,0.017,0.017,0,197.33333,198.28571,8,0.01428,High Risk
8.42911,24.6875,0.38,0.017,196,8.42911,8.4317,-0.00454,24.70833,24.69643,0,0.38,0.38,0,0.017,0.017,0,196.66667,198.42857,0,0.02067,High Risk
8.43365,24.625,0.38,0.017,191,8.43667,8.43494,-0.00453,24.625,24.625,0,0.38,0.38,0,0.017,0.017,0,191.66667,192.14286,-1,0.00685,High Risk
8.42003,24.5625,0.38,0.017,192,8.42154,8.42457,-0.01815,24.52083,24.54464,0.0625,0.38,0.38,0,0.017,0.017,0,192,191.71429,0,0.03555,High Risk
8.42911,24.5625,0.38,0.017,190,8.42306,8.4343,0.01362,24.54167,24.52679,0,0.38,0.38,0,0.017,0.017,0,191,191.28571,-2,0.06223,High Risk
8.42003,24.4375,0.38,0.017,192,8.42608,8.42846,-0.00908,24.4375,24.4375,0,0.38,0.38,0,0.017,0.017,0,192.33333,191,-1,0.00971,High Risk
8.48358,24.4375,0.38,0.017,192,8.44424,8.43105,0.05447,24.4375,24.4375,0,0.38,0.38,0,0.017,0.017,0,192,192.42857,0,0.04913,High Risk
8.42457,24.375,0.38,0.017,193,8.42457,8.42392,-0.00454,24.39583,24.38393,-0.0625,0.38,0.38,0,0.017,0.017,0,193.33333,193,0,0.02284,High Risk
8.42003,24.375,0.38,0.017,197,8.42608,8.42781,-0.00454,24.35417,24.36607,0.0625,0.38,0.38,0,0.017,0.017,0,198,197.71429,-1,0.02191,High Risk
8.41549,24.375,0.38,0.017,208,8.42003,8.42327,-0.01362,24.33333,24.32143,0.0625,0.38,0.38,0,0.017,0.017,0,207.33333,207.14286,1,0.02729,High Risk
8.48358,24.3125,0.38,0.017,202,8.43516,8.43624,0.07717,24.33333,24.33036,0,0.38,0.38,0,0.017,0.017,0,203.66667,205,-3,0.08131,High Risk
8.42003,24.375,0.38,0.017,208,8.417,8.41225,0,24.35417,24.33036,0,0.38,0.38,0,0.017,0.017,0,208,207.85714,0,0.02663,High Risk
8.41095,24.375,0.38,0.017,206,8.41549,8.41549,-0.00908,24.375,24.36607,0,0.38,0.38,0,0.017,0.017,0,207.33333,207.71429,-2,0.02089,High Risk
8.41095,24.3125,0.38,0.017,205,8.41398,8.41419,0,24.35417,24.35714,-0.0625,0.38,0.38,0,0.017,0.017,0,206.33333,207.28571,-1,0.02389,High Risk
8.41095,24.375,0.38,0.017,208,8.41246,8.41743,0.00454,24.35417,24.34821,0.0625,0.38,0.38,0,0.017,0.017,0,207.33333,208.42857,2,0.04534,High Risk
8.41095,24.375,0.38,0.017,199,8.41095,8.4103,0.00454,24.375,24.375,0,0.38,0.38,0,0.017,0.017,0,199,198,0,0.00627,High Risk
8.42003,24.375,0.38,0.017,201,8.42457,8.41743,0.01362,24.375,24.375,0,0.38,0.38,0,0.017,0.017,0,200.33333,201.71429,-1,0.02815,High Risk
8.40641,24.4375,0.38,0.017,202,8.40792,8.40771,-0.00454,24.4375,24.4375,0,0.38,0.38,0,0.017,0.017,0,202,201.57143,0,0.00443,High Risk
8.39279,25.4375,0.38,0.017,194,8.37009,8.36555,0.03632,25.4375,25.5,0,0.38,0.38,0,0.017,0.017,0,193,193.14286,1,0.06934,High Risk
8.37463,25.6875,0.38,0.017,193,8.37009,8.36879,0.01362,25.6875,25.6875,0,0.38,0.38,0,0.017,0.017,0,196,200.71429,-5,0.02942,High Risk
8.39733,26.25,0.38,0.017,196,8.42305,8.40771,0.01816,26.22917,26.21429,0,0.38,0.38,0,0.017,0.017,0,194,196.71429,3,0.09279,High Risk
8.38825,26.25,0.38,0.017,251,8.38522,8.3876,0.00454,26.27083,26.27679,0,0.38,0.38,0,0.017,0.017,0,270.66667,276.71429,-21,0.02641,High Risk
8.39279,26.3125,0.38,0.017,197,8.3943,8.38695,0,26.35417,26.34821,-0.0625,0.38,0.38,0,0.017,0.017,0,197,197.71429,0,0.03126,High Risk
8.39279,26.4375,0.38,0.017,207,8.39128,8.3889,0,26.4375,26.42857,0,0.38,0.38,0,0.017,0.017,0,207,205.71429,1,0.01998,High Risk
8.38825,26.4375,0.38,0.017,208,8.38825,8.39214,-0.00454,26.41667,26.40179,0.0625,0.38,0.38,0,0.017,0.017,0,208,208.14286,0,0.03859,High Risk
8.38825,26.375,0.38,0.017,209,8.3943,8.39409,-0.00908,26.41667,26.40179,-0.0625,0.38,0.38,0,0.017,0.017,0,208.66667,208.57143,1,0.02681,High Risk
8.39279,26.4375,0.38,0.017,212,8.39582,8.39798,-0.00454,26.39583,26.38393,0.0625,0.38,0.38,0,0.017,0.017,0,212,212.85714,1,0.02403,High Risk
8.39733,26.375,0.38,0.017,208,8.39582,8.39409,0.00454,26.375,26.35714,0,0.38,0.38,0,0.017,0.017,0,207,207.57143,0,0.02211,High Risk
